Unique Identifier,Memory Address (Hex),Memory Address (Dec),Initial Value,Element Type
"STRINGS_STRING_1_NEO_PIXELS_2_GREEN_LEAD_STARTING_CYCLE","0x0093",147,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_2_GREEN_LEAD_EFFECT","0x0094",148,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_2_GREEN_LEAD_GROUP","0x0095",149,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_2_BLUE_LEAD_INTENSITY","0x0096",150,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_2_BLUE_LEAD_CYCLES_ON","0x0097",151,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_2_BLUE_LEAD_CYCLES_OFF","0x0098",152,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_2_BLUE_LEAD_STARTING_CYCLE","0x0099",153,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_2_BLUE_LEAD_EFFECT","0x009A",154,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_2_BLUE_LEAD_GROUP","0x009B",155,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_3_DESCRIPTION","0x009C",156,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_3_RED_LEAD_INTENSITY","0x00B1",177,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_3_RED_LEAD_CYCLES_ON","0x00B2",178,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_3_RED_LEAD_CYCLES_OFF","0x00B3",179,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_3_RED_LEAD_STARTING_CYCLE","0x00B4",180,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_3_RED_LEAD_EFFECT","0x00B5",181,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_3_RED_LEAD_GROUP","0x00B6",182,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_3_GREEN_LEAD_INTENSITY","0x00B7",183,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_3_GREEN_LEAD_CYCLES_ON","0x00B8",184,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_3_GREEN_LEAD_CYCLES_OFF","0x00B9",185,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_3_GREEN_LEAD_STARTING_CYCLE","0x00BA",186,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_3_GREEN_LEAD_EFFECT","0x00BB",187,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_3_GREEN_LEAD_GROUP","0x00BC",188,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_3_BLUE_LEAD_INTENSITY","0x00BD",189,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_3_BLUE_LEAD_CYCLES_ON","0x00BE",190,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_3_BLUE_LEAD_CYCLES_OFF","0x00BF",191,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_3_BLUE_LEAD_STARTING_CYCLE","0x00C0",192,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_3_BLUE_LEAD_EFFECT","0x00C1",193,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_3_BLUE_LEAD_GROUP","0x00C2",194,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_4_DESCRIPTION","0x00C3",195,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_4_RED_LEAD_INTENSITY","0x00D8",216,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_4_RED_LEAD_CYCLES_ON","0x00D9",217,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_4_RED_LEAD_CYCLES_OFF","0x00DA",218,"5","int"
