Unique Identifier,Memory Address (Hex),Memory Address (Dec),Initial Value,Element Type
"STRINGS_STRING_1_NEO_PIXELS_12_BLUE_LEAD_INTENSITY","0x021C",540,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_12_BLUE_LEAD_CYCLES_ON","0x021D",541,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_12_BLUE_LEAD_CYCLES_OFF","0x021E",542,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_12_BLUE_LEAD_STARTING_CYCLE","0x021F",543,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_12_BLUE_LEAD_EFFECT","0x0220",544,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_12_BLUE_LEAD_GROUP","0x0221",545,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_13_DESCRIPTION","0x0222",546,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_13_RED_LEAD_INTENSITY","0x0237",567,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_13_RED_LEAD_CYCLES_ON","0x0238",568,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_13_RED_LEAD_CYCLES_OFF","0x0239",569,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_13_RED_LEAD_STARTING_CYCLE","0x023A",570,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_13_RED_LEAD_EFFECT","0x023B",571,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_13_RED_LEAD_GROUP","0x023C",572,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_13_GREEN_LEAD_INTENSITY","0x023D",573,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_13_GREEN_LEAD_CYCLES_ON","0x023E",574,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_13_GREEN_LEAD_CYCLES_OFF","0x023F",575,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_13_GREEN_LEAD_STARTING_CYCLE","0x0240",576,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_13_GREEN_LEAD_EFFECT","0x0241",577,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_13_GREEN_LEAD_GROUP","0x0242",578,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_13_BLUE_LEAD_INTENSITY","0x0243",579,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_13_BLUE_LEAD_CYCLES_ON","0x0244",580,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_13_BLUE_LEAD_CYCLES_OFF","0x0245",581,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_13_BLUE_LEAD_STARTING_CYCLE","0x0246",582,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_13_BLUE_LEAD_EFFECT","0x0247",583,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_13_BLUE_LEAD_GROUP","0x0248",584,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_14_DESCRIPTION","0x0249",585,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_14_RED_LEAD_INTENSITY","0x025E",606,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_14_RED_LEAD_CYCLES_ON","0x025F",607,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_14_RED_LEAD_CYCLES_OFF","0x0260",608,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_14_RED_LEAD_STARTING_CYCLE","0x0261",609,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_14_RED_LEAD_EFFECT","0x0262",610,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_14_RED_LEAD_GROUP","0x0263",611,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_14_GREEN_LEAD_INTENSITY","0x0264",612,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_14_GREEN_LEAD_CYCLES_ON","0x0265",613,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_14_GREEN_LEAD_CYCLES_OFF","0x0266",614,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_14_GREEN_LEAD_STARTING_CYCLE","0x0267",615,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_14_GREEN_LEAD_EFFECT","0x0268",616,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_14_GREEN_LEAD_GROUP","0x0269",617,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_14_BLUE_LEAD_INTENSITY","0x026A",618,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_14_BLUE_LEAD_CYCLES_ON","0x026B",619,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_14_BLUE_LEAD_CYCLES_OFF","0x026C",620,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_14_BLUE_LEAD_STARTING_CYCLE","0x026D",621,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_14_BLUE_LEAD_EFFECT","0x026E",622,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_14_BLUE_LEAD_GROUP","0x026F",623,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_15_DESCRIPTION","0x0270",624,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_15_RED_LEAD_INTENSITY","0x0285",645,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_15_RED_LEAD_CYCLES_ON","0x0286",646,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_15_RED_LEAD_CYCLES_OFF","0x0287",647,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_15_RED_LEAD_STARTING_CYCLE","0x0288",648,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_15_RED_LEAD_EFFECT","0x0289",649,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_15_RED_LEAD_GROUP","0x028A",650,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_15_GREEN_LEAD_INTENSITY","0x028B",651,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_15_GREEN_LEAD_CYCLES_ON","0x028C",652,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_15_GREEN_LEAD_CYCLES_OFF","0x028D",653,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_15_GREEN_LEAD_STARTING_CYCLE","0x028E",654,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_15_GREEN_LEAD_EFFECT","0x028F",655,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_15_GREEN_LEAD_GROUP","0x0290",656,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_15_BLUE_LEAD_INTENSITY","0x0291",657,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_15_BLUE_LEAD_CYCLES_ON","0x0292",658,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_15_BLUE_LEAD_CYCLES_OFF","0x0293",659,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_15_BLUE_LEAD_STARTING_CYCLE","0x0294",660,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_15_BLUE_LEAD_EFFECT","0x0295",661,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_15_BLUE_LEAD_GROUP","0x0296",662,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_16_DESCRIPTION","0x0297",663,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_16_RED_LEAD_INTENSITY","0x02AC",684,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_16_RED_LEAD_CYCLES_ON","0x02AD",685,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_16_RED_LEAD_CYCLES_OFF","0x02AE",686,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_16_RED_LEAD_STARTING_CYCLE","0x02AF",687,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_16_RED_LEAD_EFFECT","0x02B0",688,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_16_RED_LEAD_GROUP","0x02B1",689,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_16_GREEN_LEAD_INTENSITY","0x02B2",690,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_16_GREEN_LEAD_CYCLES_ON","0x02B3",691,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_16_GREEN_LEAD_CYCLES_OFF","0x02B4",692,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_16_GREEN_LEAD_STARTING_CYCLE","0x02B5",693,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_16_GREEN_LEAD_EFFECT","0x02B6",694,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_16_GREEN_LEAD_GROUP","0x02B7",695,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_16_BLUE_LEAD_INTENSITY","0x02B8",696,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_16_BLUE_LEAD_CYCLES_ON","0x02B9",697,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_16_BLUE_LEAD_CYCLES_OFF","0x02BA",698,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_16_BLUE_LEAD_STARTING_CYCLE","0x02BB",699,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_16_BLUE_LEAD_EFFECT","0x02BC",700,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_16_BLUE_LEAD_GROUP","0x02BD",701,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_17_DESCRIPTION","0x02BE",702,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_17_RED_LEAD_INTENSITY","0x02D3",723,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_17_RED_LEAD_CYCLES_ON","0x02D4",724,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_17_RED_LEAD_CYCLES_OFF","0x02D5",725,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_17_RED_LEAD_STARTING_CYCLE","0x02D6",726,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_17_RED_LEAD_EFFECT","0x02D7",727,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_17_RED_LEAD_GROUP","0x02D8",728,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_17_GREEN_LEAD_INTENSITY","0x02D9",729,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_17_GREEN_LEAD_CYCLES_ON","0x02DA",730,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_17_GREEN_LEAD_CYCLES_OFF","0x02DB",731,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_17_GREEN_LEAD_STARTING_CYCLE","0x02DC",732,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_17_GREEN_LEAD_EFFECT","0x02DD",733,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_17_GREEN_LEAD_GROUP","0x02DE",734,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_17_BLUE_LEAD_INTENSITY","0x02DF",735,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_17_BLUE_LEAD_CYCLES_ON","0x02E0",736,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_17_BLUE_LEAD_CYCLES_OFF","0x02E1",737,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_17_BLUE_LEAD_STARTING_CYCLE","0x02E2",738,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_17_BLUE_LEAD_EFFECT","0x02E3",739,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_17_BLUE_LEAD_GROUP","0x02E4",740,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_18_DESCRIPTION","0x02E5",741,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_18_RED_LEAD_INTENSITY","0x02FA",762,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_18_RED_LEAD_CYCLES_ON","0x02FB",763,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_18_RED_LEAD_CYCLES_OFF","0x02FC",764,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_18_RED_LEAD_STARTING_CYCLE","0x02FD",765,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_18_RED_LEAD_EFFECT","0x02FE",766,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_18_RED_LEAD_GROUP","0x02FF",767,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_18_GREEN_LEAD_INTENSITY","0x0300",768,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_18_GREEN_LEAD_CYCLES_ON","0x0301",769,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_18_GREEN_LEAD_CYCLES_OFF","0x0302",770,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_18_GREEN_LEAD_STARTING_CYCLE","0x0303",771,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_18_GREEN_LEAD_EFFECT","0x0304",772,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_18_GREEN_LEAD_GROUP","0x0305",773,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_18_BLUE_LEAD_INTENSITY","0x0306",774,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_18_BLUE_LEAD_CYCLES_ON","0x0307",775,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_18_BLUE_LEAD_CYCLES_OFF","0x0308",776,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_18_BLUE_LEAD_STARTING_CYCLE","0x0309",777,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_18_BLUE_LEAD_EFFECT","0x030A",778,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_18_BLUE_LEAD_GROUP","0x030B",779,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_19_DESCRIPTION","0x030C",780,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_19_RED_LEAD_INTENSITY","0x0321",801,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_19_RED_LEAD_CYCLES_ON","0x0322",802,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_19_RED_LEAD_CYCLES_OFF","0x0323",803,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_19_RED_LEAD_STARTING_CYCLE","0x0324",804,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_19_RED_LEAD_EFFECT","0x0325",805,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_19_RED_LEAD_GROUP","0x0326",806,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_19_GREEN_LEAD_INTENSITY","0x0327",807,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_19_GREEN_LEAD_CYCLES_ON","0x0328",808,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_19_GREEN_LEAD_CYCLES_OFF","0x0329",809,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_19_GREEN_LEAD_STARTING_CYCLE","0x032A",810,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_19_GREEN_LEAD_EFFECT","0x032B",811,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_19_GREEN_LEAD_GROUP","0x032C",812,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_19_BLUE_LEAD_INTENSITY","0x032D",813,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_19_BLUE_LEAD_CYCLES_ON","0x032E",814,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_19_BLUE_LEAD_CYCLES_OFF","0x032F",815,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_19_BLUE_LEAD_STARTING_CYCLE","0x0330",816,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_19_BLUE_LEAD_EFFECT","0x0331",817,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_19_BLUE_LEAD_GROUP","0x0332",818,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_20_DESCRIPTION","0x0333",819,"""","string"
"STRINGS_STRING_1_NEO_PIXELS_20_RED_LEAD_INTENSITY","0x0348",840,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_20_RED_LEAD_CYCLES_ON","0x0349",841,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_20_RED_LEAD_CYCLES_OFF","0x034A",842,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_20_RED_LEAD_STARTING_CYCLE","0x034B",843,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_20_RED_LEAD_EFFECT","0x034C",844,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_20_RED_LEAD_GROUP","0x034D",845,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_20_GREEN_LEAD_INTENSITY","0x034E",846,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_20_GREEN_LEAD_CYCLES_ON","0x034F",847,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_20_GREEN_LEAD_CYCLES_OFF","0x0350",848,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_20_GREEN_LEAD_STARTING_CYCLE","0x0351",849,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_20_GREEN_LEAD_EFFECT","0x0352",850,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_20_GREEN_LEAD_GROUP","0x0353",851,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_20_BLUE_LEAD_INTENSITY","0x0354",852,"100","int"
"STRINGS_STRING_1_NEO_PIXELS_20_BLUE_LEAD_CYCLES_ON","0x0355",853,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_20_BLUE_LEAD_CYCLES_OFF","0x0356",854,"5","int"
"STRINGS_STRING_1_NEO_PIXELS_20_BLUE_LEAD_STARTING_CYCLE","0x0357",855,"0","int"
"STRINGS_STRING_1_NEO_PIXELS_20_BLUE_LEAD_EFFECT","0x0358",856,"1","int"
"STRINGS_STRING_1_NEO_PIXELS_20_BLUE_LEAD_GROUP","0x0359",857,"0","int"
"STRINGS_STRING_2_DESCRIPTION","0x035A",858,"""","string"
"STRINGS_STRING_2_NUMBER_OF_HEADS","0x036F",879,"5","int"
"STRINGS_STRING_2_ALL_ON","0x0370",880,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_2_ALL_OFF","0x0378",888,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_2_ALL_TOGGLE","0x0380",896,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_2_EFFECTS_ON","0x0388",904,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_2_EFFECTS_OFF","0x0390",912,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_2_EFFECTS_TOGGLE","0x0398",920,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_2_DIMMER_TOGGLE","0x03A0",928,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_2_NEO_PIXELS_1_DESCRIPTION","0x03A8",936,"""","string"
"STRINGS_STRING_2_NEO_PIXELS_1_RED_LEAD_INTENSITY","0x03BD",957,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_1_RED_LEAD_CYCLES_ON","0x03BE",958,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_1_RED_LEAD_CYCLES_OFF","0x03BF",959,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_1_RED_LEAD_STARTING_CYCLE","0x03C0",960,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_1_RED_LEAD_EFFECT","0x03C1",961,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_1_RED_LEAD_GROUP","0x03C2",962,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_1_GREEN_LEAD_INTENSITY","0x03C3",963,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_1_GREEN_LEAD_CYCLES_ON","0x03C4",964,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_1_GREEN_LEAD_CYCLES_OFF","0x03C5",965,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_1_GREEN_LEAD_STARTING_CYCLE","0x03C6",966,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_1_GREEN_LEAD_EFFECT","0x03C7",967,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_1_GREEN_LEAD_GROUP","0x03C8",968,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_1_BLUE_LEAD_INTENSITY","0x03C9",969,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_1_BLUE_LEAD_CYCLES_ON","0x03CA",970,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_1_BLUE_LEAD_CYCLES_OFF","0x03CB",971,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_1_BLUE_LEAD_STARTING_CYCLE","0x03CC",972,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_1_BLUE_LEAD_EFFECT","0x03CD",973,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_1_BLUE_LEAD_GROUP","0x03CE",974,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_2_DESCRIPTION","0x03CF",975,"""","string"
"STRINGS_STRING_2_NEO_PIXELS_2_RED_LEAD_INTENSITY","0x03E4",996,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_2_RED_LEAD_CYCLES_ON","0x03E5",997,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_2_RED_LEAD_CYCLES_OFF","0x03E6",998,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_2_RED_LEAD_STARTING_CYCLE","0x03E7",999,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_2_RED_LEAD_EFFECT","0x03E8",1000,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_2_RED_LEAD_GROUP","0x03E9",1001,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_2_GREEN_LEAD_INTENSITY","0x03EA",1002,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_2_GREEN_LEAD_CYCLES_ON","0x03EB",1003,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_2_GREEN_LEAD_CYCLES_OFF","0x03EC",1004,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_2_GREEN_LEAD_STARTING_CYCLE","0x03ED",1005,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_2_GREEN_LEAD_EFFECT","0x03EE",1006,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_2_GREEN_LEAD_GROUP","0x03EF",1007,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_2_BLUE_LEAD_INTENSITY","0x03F0",1008,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_2_BLUE_LEAD_CYCLES_ON","0x03F1",1009,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_2_BLUE_LEAD_CYCLES_OFF","0x03F2",1010,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_2_BLUE_LEAD_STARTING_CYCLE","0x03F3",1011,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_2_BLUE_LEAD_EFFECT","0x03F4",1012,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_2_BLUE_LEAD_GROUP","0x03F5",1013,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_3_DESCRIPTION","0x03F6",1014,"""","string"
"STRINGS_STRING_2_NEO_PIXELS_3_RED_LEAD_INTENSITY","0x040B",1035,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_3_RED_LEAD_CYCLES_ON","0x040C",1036,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_3_RED_LEAD_CYCLES_OFF","0x040D",1037,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_3_RED_LEAD_STARTING_CYCLE","0x040E",1038,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_3_RED_LEAD_EFFECT","0x040F",1039,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_3_RED_LEAD_GROUP","0x0410",1040,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_3_GREEN_LEAD_INTENSITY","0x0411",1041,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_3_GREEN_LEAD_CYCLES_ON","0x0412",1042,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_3_GREEN_LEAD_CYCLES_OFF","0x0413",1043,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_3_GREEN_LEAD_STARTING_CYCLE","0x0414",1044,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_3_GREEN_LEAD_EFFECT","0x0415",1045,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_3_GREEN_LEAD_GROUP","0x0416",1046,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_3_BLUE_LEAD_INTENSITY","0x0417",1047,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_3_BLUE_LEAD_CYCLES_ON","0x0418",1048,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_3_BLUE_LEAD_CYCLES_OFF","0x0419",1049,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_3_BLUE_LEAD_STARTING_CYCLE","0x041A",1050,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_3_BLUE_LEAD_EFFECT","0x041B",1051,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_3_BLUE_LEAD_GROUP","0x041C",1052,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_4_DESCRIPTION","0x041D",1053,"""","string"
"STRINGS_STRING_2_NEO_PIXELS_4_RED_LEAD_INTENSITY","0x0432",1074,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_4_RED_LEAD_CYCLES_ON","0x0433",1075,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_4_RED_LEAD_CYCLES_OFF","0x0434",1076,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_4_RED_LEAD_STARTING_CYCLE","0x0435",1077,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_4_RED_LEAD_EFFECT","0x0436",1078,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_4_RED_LEAD_GROUP","0x0437",1079,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_4_GREEN_LEAD_INTENSITY","0x0438",1080,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_4_GREEN_LEAD_CYCLES_ON","0x0439",1081,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_4_GREEN_LEAD_CYCLES_OFF","0x043A",1082,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_4_GREEN_LEAD_STARTING_CYCLE","0x043B",1083,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_4_GREEN_LEAD_EFFECT","0x043C",1084,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_4_GREEN_LEAD_GROUP","0x043D",1085,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_4_BLUE_LEAD_INTENSITY","0x043E",1086,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_4_BLUE_LEAD_CYCLES_ON","0x043F",1087,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_4_BLUE_LEAD_CYCLES_OFF","0x0440",1088,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_4_BLUE_LEAD_STARTING_CYCLE","0x0441",1089,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_4_BLUE_LEAD_EFFECT","0x0442",1090,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_4_BLUE_LEAD_GROUP","0x0443",1091,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_5_DESCRIPTION","0x0444",1092,"""","string"
"STRINGS_STRING_2_NEO_PIXELS_5_RED_LEAD_INTENSITY","0x0459",1113,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_5_RED_LEAD_CYCLES_ON","0x045A",1114,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_5_RED_LEAD_CYCLES_OFF","0x045B",1115,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_5_RED_LEAD_STARTING_CYCLE","0x045C",1116,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_5_RED_LEAD_EFFECT","0x045D",1117,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_5_RED_LEAD_GROUP","0x045E",1118,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_5_GREEN_LEAD_INTENSITY","0x045F",1119,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_5_GREEN_LEAD_CYCLES_ON","0x0460",1120,"5","int"
